Time_s,Ax_ms2,Ay_ms2,Az_ms2
5.753,-0.135,-8.344,4.789
5.764,-0.184,-8.152,5.056
5.775,0.03,-7.881,5.404
5.786,0.124,-7.823,5.598
5.797,0.084,-7.865,5.853
5.808,-0.173,-7.738,5.99
5.819,-0.06,-7.39,6.154
5.83,0.089,-6.657,6.764
5.841,0.052,-7.405,7.049
5.852,0.088,-7.583,7.216
5.863,0.061,-7.746,7.476
5.874,0.418,-7.286,7.523
5.885,0.505,-7.134,7.654
5.896,0.338,-6.507,7.421
5.907,0.405,-6.174,7.4
5.918,-0.214,-5.86,7.312
5.929,-0.024,-5.371,7.591
5.94,0.107,-5.126,7.733
5.951,-0.283,-5.36,7.995
5.963,0.122,-5.65,7.557
5.974,0.901,-5.277,7.721
5.985,0.339,-4.553,7.905
5.996,-0.124,-5.111,7.798
6.007,-0.162,-5.243,7.381
6.018,1.392,-4.84,7.403
6.029,1.08,-3.948,7.842
6.04,-0.264,-3.802,7.852
6.051,-0.247,-3.798,8.087
6.062,0.298,-3.216,8.364
6.073,1.006,-3.807,8.753
6.084,0.386,-4.264,8.963
6.095,0.553,-3.861,8.977
6.106,0.757,-3.843,9.033
6.117,0.629,-4.111,9.134
6.128,0.607,-4.617,9.19
6.139,0.393,-5.266,9.32
6.15,0.229,-5.077,9.586
6.161,0.443,-4.25,9.857
6.172,1.071,-3.882,10.204
6.183,1.253,-4.496,10.434
6.194,0.918,-4.482,10.79
6.205,1.03,-3.932,10.704
6.216,1.095,-3.726,10.729
6.227,0.919,-3.721,10.787
6.238,0.961,-3.877,10.527
6.249,0.784,-4.647,10.546
6.26,0.308,-4.4,10.384
6.271,0.451,-3.644,10.279
6.282,0.73,-3.365,10.017
6.293,0.667,-3.556,9.913
6.304,0.623,-3.95,9.641
6.315,0.46,-4.144,9.495
6.326,0.398,-4.076,9.19
6.337,0.346,-4.126,8.92
6.349,0.372,-4.766,8.508
6.36,0.253,-5.062,8.384
6.371,0.082,-4.923,7.906
6.382,0.059,-4.887,7.731
6.393,-0.043,-5.224,7.647
6.404,0.146,-5.793,7.31
6.415,0.07,-6.384,7.014
6.426,-0.046,-6.64,6.805
6.437,-0.328,-6.569,6.854
6.448,-0.353,-6.335,6.982
6.459,-0.254,-5.64,7.14
6.47,-0.244,-5.555,7.077
6.481,0.036,-5.939,7.005
6.492,0.087,-6.671,7.055
6.503,-0.078,-7.134,6.938
6.514,-0.367,-7.173,6.914
6.525,-0.461,-7.209,6.822
6.536,-1.105,-7.362,6.424
6.547,-1.303,-7.106,6.176
6.558,-1.37,-7.338,6.477
6.569,-1.125,-7.678,6.651
6.58,-1.009,-8.062,6.678
6.591,-1.011,-8.067,6.317
6.602,-1.004,-7.9,6.128
6.613,-1.354,-7.613,6.085
6.624,-1.688,-7.713,5.875
6.635,-1.718,-7.691,5.977
6.646,-1.596,-7.743,5.998
6.657,-1.527,-7.854,6.273
6.668,-1.44,-7.872,6.27
6.679,-1.37,-7.304,6.664
6.69,-1.314,-6.78,6.807
6.701,-0.995,-6.277,6.71
6.712,-0.625,-6.638,6.35
6.723,-0.493,-6.621,6.372
6.735,-0.532,-7.163,6.477
6.746,-0.365,-7.513,6.523
6.757,-0.23,-7.71,6.388
6.768,0.056,-7.48,6.471
6.779,0.07,-7.468,6.683
6.79,0.884,-8.756,6.663
6.801,0.809,-8.544,6.55
6.812,0.546,-7.85,6.234
6.823,0.613,-7.536,5.971
6.834,0.366,-7.715,6.113
6.845,0.133,-8.314,6.249
6.856,0.115,-8.179,6.223
6.867,0.465,-7.273,6.121
6.878,-0.011,-8.081,6.576
6.889,-0.057,-5.76,5.995
6.9,0.529,-6.647,6.676
6.911,0.335,-7.124,6.223
6.922,-0.219,-7.524,6.135
6.933,0.12,-7.738,6.598
6.944,0.345,-7.871,6.778
6.955,-0.132,-7.856,7.133
6.966,0.179,-6.185,7.598
6.977,0.485,-6.699,7.615
6.988,0.116,-6.981,7.221
6.999,-0.035,-6.71,7.258
7.01,-0.382,-6.599,7.376
7.021,-0.658,-6.609,7.656
7.032,-0.548,-5.873,7.557
7.043,-0.176,-5.342,7.434
7.054,-0.007,-4.946,8.048
7.065,-0.318,-4.732,8.175
7.076,-0.718,-4.178,8.292
7.087,-0.709,-3.42,8.254
7.098,-0.444,-3.294,8.246
7.11,-0.462,-3.343,8.583
7.121,0.013,-3.659,9.58
7.132,0.147,-3.704,9.678
7.143,0.127,-3.398,9.239
7.154,-0.23,-3.265,8.975
7.165,-0.782,-3.197,8.647
7.176,-0.797,-3.272,8.391
7.187,-0.742,-3.676,8.716
7.198,-0.39,-3.582,8.933
7.209,-0.085,-3.582,9.318
7.22,-0.021,-3.895,9.684
7.231,-0.198,-3.508,9.486
7.242,-0.35,-3.251,9.334
7.253,-0.921,-3.57,8.976
7.264,-0.166,-2.669,9.177
7.275,0.393,-1.985,9.361
7.286,0.08,-2.797,9.646
7.297,-0.303,-2.723,9.647
7.308,-0.607,-2.793,9.461
7.319,-1.341,-2.326,9.39
7.33,-1.601,-2.69,9.273
7.341,-0.681,-3.507,9.402
7.352,-0.513,-1.018,9.84
7.363,-0.666,-2.237,10.019
7.374,-0.573,-2.558,9.963
7.385,-0.832,-2.388,9.75
7.396,-0.763,-1.656,9.804
7.407,-0.698,-2.418,9.887
7.418,-0.694,-2.474,10.061
7.429,-0.421,-2.347,9.878
7.44,-0.317,-2.17,9.875
7.451,0.064,-1.83,9.431
7.462,-0.035,-3.374,9.704
7.473,0.052,-2.09,9.784
7.484,-0.003,-2.242,9.954
7.496,0.575,-1.802,9.943
7.507,0.442,-1.601,9.762
7.518,0.598,-1.631,9.378
7.529,0.488,-1.588,9.169
7.54,1.184,-2.107,8.857
7.551,1.277,-1.939,9.371
7.562,1.257,-1.919,9.56
7.573,0.857,-2.506,9.45
7.584,0.736,-2.912,9.581
7.595,1.253,-2.353,9.618
7.606,1.287,-2.519,9.799
7.617,1.176,-2.406,9.673
7.628,0.965,-1.735,9.499
7.639,1.079,-1.573,9.4
7.65,1.146,-1.705,9.588
7.661,1.042,-1.845,9.563
7.672,0.573,-2.351,9.86
7.683,0.899,-2.478,9.94
7.694,0.866,-1.87,9.803
7.705,1.172,-1.383,9.828
7.716,1.132,-0.989,9.794
7.727,0.998,-0.503,9.645
7.738,0.71,-0.589,9.338
7.749,0.719,-0.568,9.671
7.76,0.176,-0.594,9.71
7.771,0.078,-0.378,9.63
7.782,0.147,-0.529,9.724
7.793,0.281,-0.455,9.545
7.804,0.266,-0.754,9.773
7.815,0.368,-0.681,9.778
7.826,0.255,-0.28,9.886
7.837,0.306,-0.48,9.874
7.848,0.119,-0.068,9.714
7.859,-0.368,-0.035,9.764
7.87,0.109,-0.646,9.638
7.882,0.682,-0.533,9.561
7.893,0.909,-0.338,9.674
7.904,0.778,-0.771,9.649
7.915,1.067,-0.661,9.702
7.926,0.809,-0.86,9.794
7.937,0.123,-0.172,10.083
7.948,0.401,-1.606,10.074
7.959,0.347,-1.228,10.093
7.97,1.16,-1.405,9.903
7.981,0.583,-0.75,9.866
7.992,0.844,-1.084,9.831
8.003,1.2,-1.169,9.814
8.014,0.983,-0.991,9.872
8.025,0.927,-1.015,9.737
8.036,0.729,-0.759,9.863
8.047,0.569,-1.007,9.797
8.058,0.646,-0.727,9.799
8.069,0.624,-0.428,9.768
8.08,0.745,-0.494,9.744
8.091,0.589,-0.712,9.527
8.102,0.755,-0.721,9.653
8.113,0.724,-1.113,9.719
8.124,0.285,-0.713,9.708
8.135,0.152,-0.705,9.916
8.146,0.153,-0.941,9.803
8.157,0.298,-0.416,9.726
8.168,0.449,-0.797,9.85
8.179,0.589,-0.651,9.885
8.19,0.631,-0.571,9.851
8.201,0.533,-0.413,9.959
8.212,0.605,-0.911,9.841
8.223,0.545,-1.006,9.726
8.234,0.378,-0.624,9.749
8.245,0.303,-0.335,9.857
8.257,0.196,-0.074,9.794
8.268,0.324,-0.259,9.813
8.279,3.127,2.364,7.489
8.29,-0.211,-1.745,10.499
8.301,0.086,0.34,9.842
8.312,0.525,-0.941,9.926
8.323,0.254,-0.681,10.093
8.334,0.444,-0.64,10.016
8.345,0.105,-0.262,10.034
8.356,0.374,-0.557,9.992
8.367,0.433,-0.507,9.897
8.378,0.726,-0.377,9.648
8.389,0.528,-0.787,9.666
8.4,0.813,-0.696,9.825
8.411,0.972,-0.654,9.709
8.422,0.472,-0.895,10.082
8.433,0.346,-0.312,10.094
8.444,0.713,-0.784,9.884
8.455,0.646,-0.988,10.013
8.466,0.156,0.069,9.883
8.477,0.186,-0.267,9.845
8.488,0.147,-0.615,9.886
8.499,0.437,-0.599,9.759
8.51,0.26,-0.5,9.726
8.521,0.158,-0.454,9.703
8.532,0.496,-0.691,9.667
8.543,0.497,-0.242,9.659
8.554,0.445,-0.406,9.695
8.565,0.471,-0.445,9.835
8.576,0.488,-0.454,9.742
8.587,0.457,-0.647,9.791
8.598,0.292,-0.679,9.819
8.609,0.377,-0.423,9.8
8.62,0.406,-0.441,9.835
8.631,0.359,-0.339,9.884
8.643,0.456,-0.415,9.807
8.654,0.377,-0.583,9.813
8.665,0.393,-0.647,9.885
8.676,0.296,-0.557,9.782
8.687,0.343,-0.52,9.768
8.698,0.351,-0.776,9.864
8.709,0.309,-0.605,9.781
8.72,0.563,-0.554,9.796
8.731,0.48,-0.494,9.803
8.742,0.241,-0.659,9.729
8.753,0.321,-0.626,9.821
8.764,0.279,-0.636,9.753
8.775,0.068,-0.538,9.917
8.786,0.213,-0.653,9.969
8.797,0.216,-0.76,9.954
8.808,0.285,-0.549,9.845
8.819,0.407,-0.68,9.852
8.83,0.345,-0.7,9.759
8.841,0.246,-0.737,9.859
8.852,0.313,-0.723,9.713
8.863,0.369,-0.628,9.887
8.874,0.315,-0.509,9.772
8.885,0.424,-0.417,9.689
8.896,0.487,-0.55,9.72
8.907,0.415,-0.404,9.793
8.918,0.465,-0.394,9.75
8.929,0.323,-0.444,9.612
8.94,0.411,-0.62,9.829
8.951,0.446,-0.381,9.678
8.962,0.478,-0.525,9.758
8.973,0.351,-0.432,9.761
8.984,0.35,-0.485,9.656
8.995,0.522,-0.302,9.745
9.006,0.398,-0.415,9.763
